stage,module_path,target_const,locked_flag,index
run_profile,scripts/experiments/ecg/paper_pipeline.py,FINAL_RUN,--allow-missing-graphs,0
run_profile,scripts/experiments/ecg/paper_pipeline.py,FINAL_RUN,--dry-run,1
run_profile,scripts/experiments/ecg/paper_pipeline.py,FINAL_RUN,--force,2
run_profile,scripts/experiments/ecg/paper_pipeline.py,FINAL_RUN,--no-build,3
run_profile,scripts/experiments/ecg/paper_pipeline.py,FINAL_RUN,--no-stop-on-error,4
run_profile,scripts/experiments/ecg/paper_pipeline.py,FINAL_RUN,--profile,5
run_profile,scripts/experiments/ecg/paper_pipeline.py,FINAL_RUN,--run-dir,6
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--benchmarks,0
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--dry-run,1
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--l1d-size,2
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--l2-size,3
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--l3-sizes,4
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--l3-ways,5
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--line-size,6
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--no-build,7
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--out-dir,8
make_proof_job,scripts/experiments/ecg/final_paper_run.py,PROOF_MATRIX,--timeout-cache,9
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--allow-gem5-ecg-pfx,0
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--allow-sniper-benchmark-workload,1
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--allow-sniper-sg-kernel-workload,2
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--benchmark,3
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--droplet-indirect-degree,4
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--droplet-prefetch-degree,5
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--droplet-stride-table-size,6
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--dry-run,7
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--ecg-pfx-delivery,8
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--ecg-pfx-hint-filter,9
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--ecg-pfx-lookahead,10
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--ecg-pfx-mode,11
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--ecg-pfx-window,12
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--l1d-size,13
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--l2-size,14
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--l3-sizes,15
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--l3-ways,16
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--line-size,17
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--no-build,18
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--options,19
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--out-dir,20
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--policies,21
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--prefetcher,22
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--prefetcher-level,23
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-address-domain,24
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-base-config,25
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-cores,26
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-frontend,27
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-memory-limit-gb,28
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-mimicos-kernel-mb,29
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-mimicos-memory-mb,30
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-omp-wait-policy,31
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-root,32
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--sniper-workload,33
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--suite,34
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--threads,35
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--timeout-cache,36
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--timeout-gem5,37
make_roi_job,scripts/experiments/ecg/final_paper_run.py,ROI_MATRIX,--timeout-sniper,38
